lemma	anagrams
果菜	['菓采']
記銘	['名己言金']
好古	['十如子', '十口女子']
枯木	['古林', '十口林']
軟部	['欠車陪']
悲喜	['古心豆非', '十口心豆非']
保因	['休咽']
路盤	['又各止皿船', '口各止皿般']
育休	['一仏月木']
給田	['合細', '口大細', '一人口細']
苦味	['中十古未']
献辞	['南犬舌辛']
製版	['制反片衣']
腸壁	['十培戸易月', '吐戸易月辛']
痴話	['口疾舌言']
俳壇	['主但回非']
香具師	['一八帥旦租', '二八帥日租']
異記	['共己田言']
一樹	['土村豆', '士村豆', '土寸木豆', '士寸木豆']
架構	['井再加林']
禁教	['孝木枚示']
車速	['束連']
章句	['口旬辛']
神幸	['平申社']
装花	['化荘衣']
長姉	['一女帳']
銅器	['口同品犬金']
如是	['女旦足', '一女日足']
詠歌	['可吹永訂', '口可欠永訂']
休会	['人伝木']
校章	['交果辛', '交十木音', '交日木辛']
公租	['且八私']
室数	['安米致']
支保	['伎口木', '休又古', '休十又口']
縮合	['宿給']
呪具	['且八口西', '一且兄八口']
粗鋼	['且岡米金']
朝報	['十幸早服']
特赦	['寺牧赤']
倍量	['但口童']
付票	['価寸示']
分速	['八束辺']
塩乾	['乞午吐早皿', '乞十午吐日皿']
仮構	['井休再反']
兄姉	['女巾西']
検案	['人合安林', '人口大安林']
済度	['斉渡']
市町村議	['寸柿田義訂', '寺巾我木田立訂']
臭味	['嗅未', '口未犬自']
樹間	['十果闘', '早木闘', '十日木闘', '寸早豆閑', '十寸日豆閑']
盛期	['一八成皿骨']
線的	['泉白約']
直筋	['助土月竹', '助士月竹', '一助十月竹']
転借	['伝昔車']
半休	['伴木']
仏寺	['付去']
木棺	['官林']
略取	['又各田耳']
異体	['供本田']
各線	['泉絡']
活着	['洋目舌']
宮女	['呂安']
禁門	['木示閑']
古相	['枯目', '十口木目']
合力	['加大', '一人加']
食洗	['人先浪']
諸子	['孝日言']
諸式	['者試']
精読	['売米請', '売米言青']
町誌	['志田訂']
嘲弄	['中千土旺月', '中千士旺月', '千呈土旧月', '千呈士旧月', '一中十千旺月', '一十千呈旧月']
特掲	['匂持日牛']
軟鋼	['岡欠車金']
黙読	['売犬言黒']
立米	['粒']
一等	['寸王竹']
窮奇	['八寄弓身']
勤倹	['人僅加大']
激特	['坊寸泊牧', '寺放泊牛']
公休	['仏八木']
鋼線	['泉綱金']
射的	['勺寸白身']
主格	['各柱']
忠信	['仲心言']
銅版	['反同片金']
哀調	['口周衣言']
雅叙	['余牙隻']
漁期	['一八滑魚']
載荷	['伐十苛車']
財別	['刀則口才', '則力口才']
諸賢	['又臣言賭']
畜舎	['人吐玄田']
衷心	['忠衣']
鎮定	['真錠', '八直錠', '具十錠', '且八土錠', '且八士錠', '一且八十錠']
同源	['原洞']
排仏	['俳払']
付議	['儀討', '信寸義', '儀寸言']
溶着	['容洋目']
閑吟	['今問木']
群読	['君売詳']
原藻	['串枯源', '中口枯源', '串古木源', '中口古木源', '串十口木源']
試射	['式謝', '式討身', '寸式言身']
詩神	['申社討', '寸申社言']
専一	['二寸由']
全的	['人勺皇']
鎮台	['公口直金', '一且公口針', '一且公古金', '且公口土金', '且公口士金', '一且公十口金']
特認	['忍牛詩', '寺忍牛言']
胴長	['同脹']
日比	['昆']
筆法	['去津竹']
異相	['共木田目']
債主	['住責']
斜塔	['二斗舎茶', '合斗王茶', '一吐大斗茶', '二人吐斗茶', '口大斗王茶', '一人口斗王茶', '中人余十斗王']
常侍	['付堂巾']
相聞	['目耳閑']
朝議	['十明義計', '早月義計', '十日月義計', '十早月義言']
等方	['坊寸竹']
薄給	['中大汁縛', '一中人汁縛']
悲田	['思非']
葉姿	['世女木茨']
活魚	['漁舌']
謹賀	['勤員言', '勤唄言']
訓辞	['川話辛', '川舌言辛']
採苗	['描采']
諸公	['者訟']
搬器	['口品投犬舟']
表側	['俵則']
兵村	['丘八寸木']
空撮	['控最', '取控日', '又控日耳']
警保	['休口敬言', '信口敬木', '中信十句枚']
幸甚	['堪平']
古鏡	['兄章金', '兄針音', '克金音', '兄十金音', '兄日辛金']
製糖	['制唐米衣']
専担	['一寸抽旦', '二寸抽日']
全村	['寸栓']
早生	['十星']
側枝	['伎則木', '休則支', '休則十又']
潮音	['日朝泣', '明汁章', '十早明泣', '十暗月汁', '日明汁辛', '日月汁章', '十日早月泣']
晩生	['免星']
払底	['広抵']
浮標	['子漂采']
別科	['刀利口斗', '利力口斗']
肝胆	['一干明月']
乾板	['乙十午反果', '乙午反早木', '乞十反早木', '乙十午反日木']
乾物	['乙十午易牛']
検収	['人又叫大木']
鯨油	['京漁由', '涼由魚']
古流	['中充汁']
左肺	['一工巾有', '一工布月']
詩壇	['一主回時言', '主吐団旦言', '主回寺旦言', '主回日王討', '一主吐団日言', '一主回寺日言', '主口団日王言', '主回寸日王言']
諸部	['者言陪']
線内	['泉納']
膳部	['善月陪']
早暁	['元十千日旧']
粗略	['且各田米']
帝紀	['己締']
動点	['勲占']
晩鐘	['免日童金']
付款	['仕寸欠示']
粉炭	['分山灰米']
翻意	['心日番翌', '心番羽音', '必日田米翌', '必日田粒羽', '必田米羽音']
欲界	['介欠田谷']
両藩	['満番']
林学	['子木栄']
話例	['信列舌']
演台	['一八宙治', '一治由穴']
改植	['己枚直', '且土己枚', '且士己枚', '一且十己枚']
各機	['幾格']
可採	['口打采']
架装	['加壮木衣']
古今	['十吟', '十含']
古兵	['丘八十口']
社歴	['圧林祉']
装弾	['単壮弓衣']
抽台	['口払由']
弔意	['引心音']
特指	['持旨牛']
特装	['壮寺牛衣']
動学	['労子重']
銅製	['制同衣金']
壁量	['一埋居音', '口埋戸章', '古埋戸音', '吐戸早童', '居日王童', '十口埋戸音', '十吐戸日童', '口埋戸日辛']
麻黄	['床横']
木柵	['冊林']
利殖	['列土租', '列士租', '一列十租']
各村	['寸格']
河谷	['可浴']
魚油	['漁由']
吟詠	['含永言', '今口永言']
具格	['一八各査', '一且八各木']
検潮	['人十大果湖', '人大早木湖', '人大明枯汁', '人十合明木汁', '人十合月果汁', '人十大日木湖', '人古大明木汁', '人古大月果汁', '人合早月木汁', '人大日月枯汁', '人十口大明木汁', '人十口大月果汁', '人十合日月木汁', '人口大早月木汁', '人古大日月木汁', '人十口大日月木汁']
構法	['去木溝']
交絡	['各絞']
集材	['才木椎']
珠算	['弄朱目竹']
時習	['寺日白羽']
聖心	['呈恥']
先回	['告四']
仙翁	['仏八山羽']
祖型	['且刑社']
隊舎	['人口墜']
覆輪	['中人冊土復車', '中人冊士復車', '中冊十大復車', '一中人冊十復車']
妄念	['今女忘']
暗合	['人口旦音', '口大日音', '一人口日音']
仮植	['値板', '休反直', '値反木', '且休反土', '且休反士', '一且休十反']
歌論	['一内吹苛訂', '人同欠苛訂', '一内口欠苛訂', '一内可欠苛言', '中内可土欠訂', '中内可士欠訂', '一中内十可欠訂']
肝油	['月汗由']
合葬	['一中介土死', '一中介士死', '中二介十死']
景物	['京易牛']
個的	['伯勺固', '伯勺十回']
固溶	['回容汁']
詩想	['寺心相言', '寺心木目言']
儒林	['休木需']
聖具	['一且八呈耳']
東院	['完陳']
突合	['口大犬穴', '一人口犬穴']
付論	['倫討', '倫寸言']
法談	['去淡言']
藍藻	['串木濫苦', '中口木濫苦', '中串十木汁監']
暗紫	['旨止糸音']
黄桃	['兆横']
勘合	['加大甚', '一人加甚']
月日	['明']
機業	['並幾木未']
校合	['交口大木', '一交人口木']
苦界	['介古苗', '中人千苗', '介十口苗']
恵沢	['一尺心油']
講壇	['主井再回旦言', '主再口囲旦言', '一主井再回日言', '一主再口囲日言']
公路	['口唆止', '八台各止']
婚期	['八女旦氏骨', '一八女日氏骨']
合科	['和大斗', '一人和斗']
錯体	['借鉢', '借本金']
山体	['仙本']
詞章	['司計音', '十司言音', '司日言辛']
射幸	['寺平身']
主機	['幾柱']
侍中	['仲寺']
盛時	['城寸日皿', '寺成日皿']
千古	['十舌']
草姿	['女早茨', '十女日茨']
痴態	['口心疾能']
糖業	['並唐未米']
温感	['心日減皿']
各案	['安格', '女客木']
滑舌	['活骨']
脇息	['心脅自']
警職	['敬耳識']
月界	['介胃']
原詩	['圧小白討', '圧寸小白言']
香具	['八旦租', '一八日租']
好守	['女字寸', '子安寸']
稿料	['科米高']
己心	['忌']
諸器	['口品犬者言']
植字	['土子宜木', '士子宜木', '一十子宜木']
諸寺	['者詩']
新著	['者薪']
情意	['憶青']
正調	['周証']
増槽	['曲曽果王', '日曲曽木王']
大扉	['戻非']
暖機	['友幾旦采', '一友幾日采']
点者	['占煮']
特保	['件吐村', '付吐木牛', '件口寺木', '件吐寸木', '休口寺牛', '休吐寸牛', '侍口木牛']
同治	['台洞']
農漁村	['寸木濃魚']
俳誌	['仕悲言', '信志非', '仕心言非']
白河	['可泊']
略字	['子客田']
楼主	['女柱米']
可倒	['何到']
器壁	['品培居犬']
検眼	['人合根目', '人口大根目']
検算	['一介合箱', '一介相答', '一介口大箱', '一介合相竹', '一介木目答', '二人介口箱', '一介口大相竹', '一介合木目竹', '二人介口相竹', '一介口大木目竹', '二人介口木目竹']
公器	['八台品犬']
古詩	['十吐討', '口寺計', '吐寸計', '十口寺言', '十吐寸言']
古湯	['一口易汁']
集古	['十口椎', '十唯木']
主材	['才柱']
触腕	['宛月虫角']
銃眼	['充目銀']
重積	['種責']
装荷	['何荘衣', '依可荘', '依壮苛']
措辞	['括昔辛', '十拉昔舌']
蔵版	['反片臣茂']
炭材	['山才木灰']
答辞	['合竹舌辛', '口大竹舌辛', '一人口竹舌辛']
農漁業	['並未濃魚']
廃村	['寸床発']
別稿	['刀利口高', '利力口高']
歩測	['則渉', '則止沙']
妙香	['女日秒']
約分	['勺紛']
葉幅	['一世口巾木苗', '世中土巾木田', '世中士巾木田', '一世中十巾木田']
要論	['中冊大女計', '一中人冊女計', '中人冊土女言', '中人冊士女言', '中冊十大女言', '一中人冊十女言']
竜舌	['乱音']
涼感	['京心減']
暦学	['厚木栄']
悪趣	['亜又恥走', '亜取心走', '亜又心耳走']
胃管	['官月田竹']
海幕	['巾旧母汁矢']
各員	['口賂']
花心	['化芯']
学林	['子木栄']
玩味	['元呈未']
金枝	['又木針']
苦吟	['中今十古']
元宵	['完肖']
香煙	['中旧王秋']
好著	['十女孝旧']
左傾	['佐頃']
山砲	['包岩']
祝着	['兄目祥', '口祥見']
呪符	['付兄口竹']
接舷	['女拉玄舟']
専検	['合大村由', '一人合村由', '合大寸木由', '一人口大村由', '一人合寸木由', '一人口大寸木由']
仙桃	['休兆山']
是空	['八定工日']
怠業	['並台心未']
弔詞	['司引言']
超訳	['尺詔走', '召尺言走']
等軸	['寺笛車', '寺由竹車']
東麓	['木棟鹿']
同節	['即筒']
肺内	['丙巾月']
八字	['子穴']
反覆	['中又復斤']
反例	['仮列']
訪花	['化芳言']
松科	['八斗木私']
明哲	['口折日月']
陽根	['一易木限']
林相	['森目']
楽壇	['八吐困日白立']
経筋	['又在幼月竹']
計時	['早詩', '十日詩', '寺早言', '十寺日言']
計帳	['十巾言長']
校異	['交共木田']
口輪	['中内土車', '中内士車', '一中内十車']
色紙	['氏絶']
真景	['京具早', '京八日直', '京具十日', '一且京八早', '且京八十旦', '且京八土日', '且京八士日', '且六古小旦', '六口小日直', '一且京八十日', '一且六口小早', '一且六古小日', '且六十口小旦', '且六口土小日', '且六口士小日', '一且六十口小日']
次姉	['一姿巾']
呪的	['兄勺口白']
晴嵐	['山日青風']
専管	['一官寸笛', '一官寸由竹']
仙椎	['催木']
跳弾	['兆単口弓止']
直管	['且土官竹', '且士官竹', '一且十官竹']
特機	['寺幾木牛']
藩論	['人冊汁番計', '人冊十汁番言', '人冊千汁田米言']
本俸	['体奉']
某市	['柿甘']
明認	['忍日月言']
良法	['去浪']
輪読	['売論車']
哀話	['口舌衣言']
一尉	['寸戸示']
一曹	['二日曲']
右葉	['世木若']
寡兵	['丘具刃穴', '一且丘八刃穴']
器種	['和品犬重']
脚韻	['却明賠', '却員月音', '却唄月音', '却日月賠']
見神	['申視']
公舎	['去口火', '人八去口']
肯認	['忍月止言']
支場	['十又易王']
斜路	['余口各斗止', '口合斗条止']
鐘塔	['中人王童針', '中埋大辛金', '一中人埋辛金', '中人十王童金']
神札	['木申礼']
自益	['八皿首']
直談	['一且炎計', '且土炎言', '且士炎言', '一且十炎言']
辞儀	['位十義舌']
時鐘	['埋寸金音', '寺日童金']
時相	['寺果目', '寺日木目']
樹枝	['寸林鼓', '木村鼓', '十寸支林豆', '十支木村豆']
節間	['即簡']
相加	['架目']
築庭	['凡工床廷竹']
点列	['占烈']
如己	['口妃']
人皇	['全白']
標目	['相票']
病根	['柄痕', '丙木痕']
余花	['一化茶']
翌晩	['免羽音']
輪唱	['中内旦早車', '人同旧早車', '内古旦旧車', '一中内日早車', '一内口旧早車', '一内古日旧車', '中内十日旦車', '人十同日旧車', '内十口旦旧車', '内口土日旧車', '内口士日旧車', '一内十口日旧車']
暗幕	['巾暮音']
右腕	['口宛有']
液膜	['夜月漠']
演唱	['口日旦油穴']
各棟	['東格']
核力	['劾木']
仮言	['信反']
機略	['人格畿', '幾格田', '人各木畿', '各幾木田']
偽計	['信十為']
口針	['古金']
紅粉	['工米紛']
古期	['八口土骨', '八口士骨', '一八十口骨']
古銅	['口同針', '十口同金']
祭室	['察至']
詐偽	['作為言']
詩節	['即等言', '即寺竹言']
脂粉	['分旨月米']
捨受	['人授舌']
集線	['木泉維']
招喚	['口召換']
諸郡	['君言都']
信賞	['償言']
軸部	['由車陪']
呪医	['匹口知']
浄妙	['争女沙']
叙景	['京余又日']
全話	['舌詮']
相銀	['木眼金', '根目金']
測度	['則渡']
村数	['女寸枚米']
中体	['仲本']
調弦	['周弓玄言']
艇庫	['庭舟車']
等時	['寸封日竹']
同温	['日洞皿']
日計	['早言']
標数	['女枚票米', '枚示米要']
伏鉢	['体犬金']
閉架	['加才閑']
北湖	['口汁背']
某女	['媒']
盆略	['分各田皿']
門楼	['女米閑']
乱麻	['床札舌']
異業	['並共未田']
異装	['共壮田衣']
科別	['刀利口斗', '利力口斗']
鑑査	['且木監金']
鏡検	['人兄大木金音']
金的	['白釣']
空腸	['一工易月穴']
空胞	['包工月穴']
計装	['十壮衣言']
古音	['口章', '口日辛']
混植	['一昆査汁', '旦査比汁', '一且昆木汁', '一且果比汁', '一日査比汁', '且旦木比汁', '一且日木比汁']
擦式	['察拭']
試打	['拭訂']
取集	['又椎耳', '木耳隻']
章程	['呈辛香', '和旺辛']
真俗	['値八谷']
集諦	['帝木誰', '帝椎言']
城市	['主巾成']
正数	['女政米']
相合	['口大木目', '一人口木目']
双樹	['又寸枝豆', '又支村豆', '又寸支木豆']
増反	['坂曽']
鎮兵	['丘八具針', '丘八真金', '丘八具十金']
堤体	['但本走']
等張	['寺弓竹長']
土公	['八去']
日王	['旺']
背銘	['北名月金']
反側	['仮則']
版築	['凡工板片竹', '凡反工木片竹']
売約	['勺続']
法意	['去心日泣']
封神	['寺申社']
味読	['口売未言']
迷言	['謎']
余得	['寸徐旦', '一寸徐日']
略論	['一内各苗言']
路村	['口寸格止', '口各寸木止']
悪因	['亜恩']
異時	['八寺昔田', '共寺日田']
右隻	['友唯']
英艦	['央舟藍']
憶説	['悦意言', '心悦言音']
改貨	['化己敗']
界線	['介泉細']
皆兵	['丘八比白']
頑是	['元題']
貴僧	['一仲贈']
吸排	['口扱非']
控股	['投月空', '工投月穴']
苦諦	['中十帝計']
激音	['放日泣白']
鋼業	['並岡未金']
交線	['泉絞']
鋼船	['岡舟鉛']
公調委	['八周女私言']
骨法	['去滑']
個票	['価固示', '価十回示']
鼓楼	['十女枝米豆', '十女支木米豆']
集信	['休誰']
主馬	['駐']
春宵	['実日肖']
荘田	['壮苗']
掌帆	['凡常手']
職組	['且織耳']
真諦	['具帝計', '八帝直言', '具十帝言', '一且八帝計', '且八土帝言', '且八士帝言', '一且八十帝言']
軸装	['壮由衣車']
侍講	['井信再寺']
持碁	['基寸拓']
持仏	['侍払']
樹体	['付十木本豆', '休十寸本豆']
叙階	['又皆除', '又比白除']
時論	['内土旧詩', '内士旧詩', '一内十旧詩', '一内寺旧計', '内十旧王討', '内土寺旧言', '内士寺旧言', '内寸旧王計', '一内十寺旧言', '内十寸旧王言']
倉皇	['人口戸玉白']
装薬	['楽荘衣']
側転	['伝則車']
存城	['在子成']
炭粉	['分山灰米']
大姉	['天女巾']
諾成	['若誠']
腸液	['夜月湯']
調速	['束言週']
停会	['亭人伝']
銅管	['官筒金', '同官竹金']
背斜	['余北斗月']
薄暑	['寸日浦著', '十寸旧浦者']
博捜	['寸捕支申', '十又寸捕申']
別章	['刀剖早', '剖力早', '刀剖十日', '剖力十日']
訪英	['央芳言']
棒銀	['奉根金']
牧柵	['冊枚牛']
異心	['共思']
詠草	['十旧永計']
可換	['喚打']
仮訳	['信反尺']
官等	['寺管']
機巧	['工幾朽']
忌中	['己忠']
検鏡	['人兄大木金音']
月旦	['胆', '一明']
公議	['義訟']
校訓	['交川木言']
紅帝	['工締']
古法	['去口汁']
合築	['凡工木答', '凡口大工木竹', '一人凡口工木竹']
合有	['右大月', '一人右月']
最左	['友工日耳']
裁例	['伐十裂', '伐列十衣']
詩韻	['時言賠', '員寺言音', '唄寺言音', '寺日言賠']
試演	['一式油穴言']
詩鐘	['寺童言金']
集禁	['林椎示']
守兵	['丘寸穴']
食法	['人去浪']
諸章	['暑言辛', '者計音', '十者言音', '日者言辛']
心耳	['恥']
直話	['一且舌計', '且土舌言', '且士舌言', '一且十舌言']
侍童	['位埋寸']
銃兵	['丘充八金']
樹姿	['十女村次豆', '十女寸木次豆']
場景	['京日易王', '主口小旦易', '一主口小日易']
侍立	['位寺']
吹部	['口欠陪']
聖塔	['中全古王耳', '中全吐土耳', '中全吐士耳', '串全十王耳', '一中全十吐耳', '中人十呈王耳', '中全十口王耳']
清白	['泊青']
潜竜	['替滝']
装輪	['一内荘衣車']
男権	['勧木田']
調息	['周心自言']
同胎	['台胴']
乳棒	['奉孔采']
粘板	['占反木米']
博品	['口古哺寸']
悲話	['心舌言非']
壁厚	['圧子居音']
膜法	['去月漠']
明珠	['旺月朱']
欲棒	['奉木欠谷']
輪講	['井再論車']
林住	['休柱']
臨模	['串古果矢臣', '串日枯矢臣', '中口古果矢臣', '中口日枯矢臣', '串十口果矢臣', '串口早木矢臣', '串古日木矢臣', '十品旧木矢臣', '中口古日木矢臣', '串十口日木矢臣']
類歌	['可吹犬米頂', '口可欠犬米頂']
例話	['信列舌']
話材	['才木舌言']
温習	['日泊皿羽']
歌誌	['可吹志訂', '口可志欠訂', '可吉心欠訂']
架蔵	['加木臣茂']
寡夫	['一分失宜']
感温	['心日減皿']
外合	['下人名']
概査	['且既林']
街村	['封桁', '封木行']
眼鏡	['見銀音']
吉例	['仕列口']
吸息	['及口心自']
教相	['孝枚目']
義認	['忍議']
空技	['控支', '十又控']
検数	['人合女枚米', '人大如枚米', '人口大女枚米']
鉱場	['広易王金']
坑木	['主机']
古格	['各枯', '十口各木']
最右	['友口日耳']
師管	['一官帥竹']
詩章	['寺計音', '時言辛', '十寺言音', '寺日言辛']
始審	['台安番']
詩聖	['呈寺耳言']
市村	['寸柿']
射場	['一寺易身', '寸易王身']
集排	['推木非']
主枝	['支柱', '十又柱']
諸侍	['信寺者']
真棒	['八奉植', '八土奉査', '八士奉査', '八奉木直', '具十奉木', '一八十奉査', '且八土奉木', '且八士奉木', '一且八十奉木']
軸棒	['奉木由車']
十哲	['古折']
呪師	['口帥西', '一兄口帥']
青染	['九木清']
聖誕	['呈延耳言']
青楼	['女木精']
相等	['寺箱', '寺木目竹']
淡青	['清炎']
直路	['且古各正', '一且古各止', '且十口各正', '且口各土止', '且口各士止', '一且十口各止']
堤内	['丙日走']
東校	['交棟']
東郊	['交陳']
特曹	['一時曲牛', '寺旦曲牛', '一寺日曲牛', '寸日曲牛王']
特損	['員持牛', '唄持牛']
二曹	['三日曲']
乳葉	['世孔菜']
俳譜	['信普非']
俳論	['倫言非']
蛮夏	['一変自虫']
粉青	['分精']
分線	['泉紛']
浴客	['各溶']
余論	['二内茶言']
暗期	['八旦音骨', '一八日音骨']
囲口	['井回']
意業	['並心未音']
遺詔	['口言貴辺']
押韻	['損甲音', '員拉日甲', '唄拉日甲']
各財	['才賂']
火田	['畑']
寒水	['一丼氷穴']
苦況	['中克汁', '中兄十汁']
月台	['胎']
公企体	['仏本止火', '人仏八本止']
講究	['九井再穴言']
講式	['井再試']
古態	['十口心能']
古刀	['十召']
古塔	['一舎苦', '吐大苦', '一人吐苦', '中十土舎', '中十士舎', '人口王苦', '中人十吐土', '中人十吐士']
採暖	['援日采']
催吐	['仙口堆']
左腎	['又工有臣', '友工月臣']
詩業	['並寺未言']
紙工	['氏紅']
支合	['又古大', '一人又古', '人又口土', '人又口士', '十又口大', '一人十又口']
詩仙	['侍山言', '信寺山']
射弾	['単寸弓身']
主潮	['朝注', '十早月注']
消磁	['滋硝']
諸司	['者詞']
諸村	['木者討', '寸木者言']
信士	['仕言']
軸距	['口巨止由車']
邪眼	['牙目限']
腎精	['又月米臣青']
人皇	['全白']
寸言	['討']
寸松	['公村']
精管	['官竹米青']
腺管	['官月泉竹']
村議	['木義討', '寸木義言']
増倍	['位吐曽']
俗臭	['伏自谷']
畜力	['玄男']
長腕	['宛脹']
等値	['侍直竹', '且侍土竹', '且侍士竹', '且十王符', '一且侍十竹', '且付十王竹']
読師	['一売帥言']
内約	['勺納']
半側	['伴則']
非心	['悲']
付載	['伐十寸車']
不味	['否未']
兵談	['丘八炎言']
兵略	['丘八各田']
遺告	['貴造']
略案	['安格田', '各安木田', '女客木田']
量程	['和旦理', '一口理香', '一和日理']
累加	['口男糸', '口小幼田']
楼台	['始木米']
路程	['各呈和止']
悪婆	['亜女心波']
異姓	['共女生田']
温菜	['旧汁皿采']
回章	['固音']
閣員	['問賂']
活計	['汁話', '汁舌言']
可読	['口売訂']
韓紙	['十早氏緯']
雅趣	['牙耳走隻']
雅味	['唯未牙']
脚台	['却胎']
旧路	['中各日止']
教案	['孝安枚']
金鼓	['支豆針', '十又豆針']
苦汗	['中十干汁']
群泳	['君永洋']
契合	['喫大', '一人喫']
原土	['圧小白']
洪範	['共氾竹車']
古訓	['口川計', '十口川言']
混配	['己昆酒', '己日比酒']
祭宴	['女察日']
最特	['取時牛', '又時牛耳', '取寺日牛', '又寺日牛耳']
試技	['又拭計', '拭支言', '十又拭言']
詩思	['寺心田言']
詞藻	['串口司木汁言']
射映	['央寸日身']
秋思	['愁田']
春窮	['八実弓日身']
春蚕	['奏日虫']
春天	['奏日']
諸案	['安木者言']
相公	['松目']
諸例	['信列者']
針広	['十鉱']
真信	['値八言']
神呪	['口申祝']
治工具	['一且八台江', '一且公口江']
示寂	['叔宗']
重筋	['動月竹']
女唇	['口娠']
寸借	['付昔']
聖訓	['呈川耳言']
精検	['人合木米青', '人口大木米青']
精汁	['十清米']
清談	['淡請', '淡言青']
洗腸	['先月湯']
染筆	['九木津竹']
前照	['昭煎', '召日煎']
曹兵	['丘八旦曲', '一丘八日曲']
粗銅	['且同米金']
損出	['員拙', '唄拙']
増兵	['丘塁日']
鍛接	['女拉段金']
値域	['一伐吐直', '伐口王直', '一且伐古王', '一且伐吐土', '一且伐吐士', '且二伐十吐', '且伐口土王', '且伐口士王', '一且伐十口王']
弔鐘	['引童金']
超勝	['券加月走']
調進	['誰週']
町村議	['寸木田義訂']
泥中	['尼沖']
桃林	['兆森']
同鉱	['広銅']
土量	['埋旦', '一埋日']
内合	['丙人口']
南人	['内十平']
念持	['寺捻']
濃青	['清農']
倍旧	['中位日']
晩節	['免即日竹']
品番	['口呂田米']
白法	['去泊']
副室	['到富']
伏射	['付犬身']
奉体	['俸本']
魔味	['口魅麻', '口床木魅']
薬方	['楽芳']
欲念	['今心欠谷']
翼板	['反木異羽', '共反木田羽']
翼幅	['一口巾田異羽']
翼部	['異羽陪', '共田羽陪']
話柄	['丙木舌言']
悪謀	['亜心某言', '亜心木甘言']
意符	['億寸竹', '付心竹音', '位寸心日竹']
英姿	['央女茨']
英日	['十央旧']
黄麻	['床横']
温容	['日溶皿']
歌詩	['可吹寺訂', '口可寺欠訂', '可吐寸欠訂']
渇筆	['匂日津竹']
花論	['人冊化十計']
器財	['品員才犬', '品唄才犬']
器体	['伏口品本']
吸管	['及口官竹']
旧口	['中日']
共唱	['八口日昔']
逆潮	['早汁遡', '十日汁遡']
空谷	['八容工']
区検	['人合枢', '人口大枢']
掲句	['匂拘日']
軽合	['一又舎車', '又吐大車', '一人又吐車', '人又口王車']
傾動	['働頃']
県市	['亡小巾目']
言者	['諸']
口囲	['井回']
鼓腸	['土易肢豆', '士易肢豆', '一十易肢豆', '土支易月豆', '士支易月豆', '一十支易月豆', '十又土易月豆', '十又士易月豆']
語性	['悟生言']
査読	['且売木言']
車交	['較']
周速	['束週']
集村	['寸木椎']
衝激	['放泊行重']
鐘鼓	['支童豆針', '十又童豆針', '十支童豆金']
章節	['十即竹音', '即日竹辛']
職訓	['川耳識']
食治	['人台浪']
諸版	['反片者言']
真個	['値八固', '値八十回']
真神	['八土申祖', '八士申祖', '一八十申祖']
真字	['子直穴', '且土子穴', '且士子穴', '八土子宜', '八士子宜', '一且十子穴', '一八十子宜']
侍衛	['偉寺行']
直納	['丙十組']
寺塔	['中人土封', '中人士封', '中十大封', '一中人十封']
腎管	['又官月竹臣']
腎節	['即又月竹臣']
製靴	['制化衣革']
正言	['証']
精好	['女子米青']
静思	['争心田青']
生時	['寺星']
整版	['反政束片']
精母	['月毒米']
専恣	['寸恵次', '一寸心次由']
栓塞	['井全木王穴']
全習	['人皇羽']
藻床	['串口汁麻']
曹時	['寺日旦曲']
側音	['位則日']
造精	['告迷青']
増台	['去口曽']
胎土	['去口月']
体半	['伴本']
旦暮	['天日旧早']
痴女	['口嫉', '如疾']
宙尉	['守届示', '宗寸届']
腸毒	['一易母青']
朝幕	['十巾早膜']
超錬	['召東走金']
直員	['且唄土', '且唄士', '一且十唄']
定線	['泉綻']
低部	['倍邸', '位口邸']
篤敬	['竹驚']
動植	['助土木重', '助士木重', '一助十木重']
銅人	['一内口金']
銅棒	['同奉木金']
土祝	['兄社']
土神	['申社']
土壇	['主回日王']
軟腐	['付庫欠肉', '府欠肉車']
白泥	['尼泊']
破擦	['察拓皮']
反俗	['仮谷']
爆燃	['暴炎然']
非想	['悲相', '悲木目']
筆洗	['先津竹']
平調	['周評']
標治	['台木漂']
付章	['位寸早', '位十寸日']
分給	['合紛', '一火紹', '八大紹', '口大紛', '一人八紹', '一人口紛']
仏真	['値公']
閉村	['寸才閑']
別辞	['刀剖十舌', '剖力十舌']
法音	['去日泣']
謀攻	['工枚甘言']
脈波	['月派皮']
明期	['八胆骨', '八旦月骨', '一八日月骨']
明報	['幸日服']
明要	['日腰', '一中女旧月']
木栓	['全林']
溶骨	['容滑']
溶食	['人容浪']
略帽	['冒各巾田']
林材	['才森']
輪部	['一中内辛陣']
例言	['信列']
論著	['人冊十者計']
哀韻	['口員衣音', '口唄衣音', '口日衣賠']
悪相	['亜想', '亜心木目']
安摩	['床手案']
遺習	['羽貴迫']
異日	['八昔田']
異樹	['共十村田豆', '共十寸木田豆']
遺精	['貴迷青']
会苦	['人古芸', '人十口芸']
演員	['一唄油穴']
演鑑	['一八宙濫金', '一油監穴金', '一濫由穴金']
音価	['一中位旧']
温良	['日浪皿']
改案	['安己枚']
皆済	['斉比泊']
解呪	['兄召牛角']
解兵	['丘分牛角']
拡材	['床才払']
各宗	['客示']
寡人	['一刃宜火', '且刃大穴', '八刃大宜']
歌題	['可吹是頂', '口可是欠頂', '可旦欠足頂', '一可日欠足頂']
